Date,time_period_end,time_open,time_close,Open,High,Low,Close,Volume,trades_count
2017-05-29T00:00:00.0000000Z,2017-05-29T00:15:00.0000000Z,2017-05-29T00:00:02.0000000Z,2017-05-29T00:14:59.0000000Z,265359.0,267500.0,265196.0,267199.0,173.8343388,942
2017-05-29T00:15:00.0000000Z,2017-05-29T00:30:00.0000000Z,2017-05-29T00:15:01.0000000Z,2017-05-29T00:29:57.0000000Z,267212.0,268121.0,267000.0,267854.0,187.46749417,1475
2017-05-29T00:30:00.0000000Z,2017-05-29T00:45:00.0000000Z,2017-05-29T00:30:00.0000000Z,2017-05-29T00:44:59.0000000Z,267834.0,268383.0,266900.0,267558.0,153.55492601,1362
2017-05-29T00:45:00.0000000Z,2017-05-29T01:00:00.0000000Z,2017-05-29T00:45:00.0000000Z,2017-05-29T00:59:50.0000000Z,267548.0,268200.0,267528.0,267999.0,150.97166726,1121
2017-05-29T01:00:00.0000000Z,2017-05-29T01:15:00.0000000Z,2017-05-29T01:00:01.0000000Z,2017-05-29T01:14:58.0000000Z,267999.0,268099.0,267501.0,267501.0,89.76892447,849
2017-05-29T01:15:00.0000000Z,2017-05-29T01:30:00.0000000Z,2017-05-29T01:15:00.0000000Z,2017-05-29T01:29:59.0000000Z,267501.0,270000.0,267500.0,268537.0,234.40287537,1682
2017-05-29T01:30:00.0000000Z,2017-05-29T01:45:00.0000000Z,2017-05-29T01:30:00.0000000Z,2017-05-29T01:44:52.0000000Z,268715.0,269771.0,268101.0,268372.0,124.9559552,1080
2017-05-29T01:45:00.0000000Z,2017-05-29T02:00:00.0000000Z,2017-05-29T01:45:02.0000000Z,2017-05-29T01:59:59.0000000Z,268369.0,269000.0,266900.0,267400.0,192.59379597,1883
2017-05-29T02:00:00.0000000Z,2017-05-29T02:15:00.0000000Z,2017-05-29T02:00:00.0000000Z,2017-05-29T02:14:59.0000000Z,267201.0,267400.0,265779.0,267389.0,188.62945944,1295
2017-05-29T02:15:00.0000000Z,2017-05-29T02:30:00.0000000Z,2017-05-29T02:15:00.0000000Z,2017-05-29T02:29:58.0000000Z,267319.0,267959.0,265888.0,266551.0,129.57900731,878
2017-05-29T02:30:00.0000000Z,2017-05-29T02:45:00.0000000Z,2017-05-29T02:30:00.0000000Z,2017-05-29T02:44:59.0000000Z,266235.0,267498.0,265696.0,266500.0,183.15784561,960
2017-05-29T02:45:00.0000000Z,2017-05-29T03:00:00.0000000Z,2017-05-29T02:45:01.0000000Z,2017-05-29T02:59:57.0000000Z,266486.0,267893.0,263311.0,263893.0,228.66944239,1048
2017-05-29T03:00:00.0000000Z,2017-05-29T03:15:00.0000000Z,2017-05-29T03:00:04.0000000Z,2017-05-29T03:14:59.0000000Z,263522.0,264987.0,260624.0,263882.0,375.01304078,1653
2017-05-29T03:15:00.0000000Z,2017-05-29T03:30:00.0000000Z,2017-05-29T03:15:02.0000000Z,2017-05-29T03:29:58.0000000Z,263881.0,264957.0,261888.0,262561.0,148.25578901,979
2017-05-29T03:30:00.0000000Z,2017-05-29T03:45:00.0000000Z,2017-05-29T03:30:01.0000000Z,2017-05-29T03:44:59.0000000Z,262591.0,264267.0,262261.0,263212.0,176.08967639,939
2017-05-29T03:45:00.0000000Z,2017-05-29T04:00:00.0000000Z,2017-05-29T03:45:02.0000000Z,2017-05-29T03:59:59.0000000Z,263217.0,266027.0,262066.0,264422.0,266.61239316,1010
2017-05-29T04:00:00.0000000Z,2017-05-29T04:15:00.0000000Z,2017-05-29T04:00:00.0000000Z,2017-05-29T04:14:54.0000000Z,264423.0,265700.0,263621.0,265672.0,138.11226846,777
2017-05-29T04:15:00.0000000Z,2017-05-29T04:30:00.0000000Z,2017-05-29T04:15:06.0000000Z,2017-05-29T04:29:59.0000000Z,265499.0,266175.0,263808.0,264528.0,197.74941987,960
2017-05-29T04:30:00.0000000Z,2017-05-29T04:45:00.0000000Z,2017-05-29T04:30:00.0000000Z,2017-05-29T04:44:57.0000000Z,264793.0,265000.0,263612.0,264275.0,202.55279714,1001
2017-05-29T04:45:00.0000000Z,2017-05-29T05:00:00.0000000Z,2017-05-29T04:45:02.0000000Z,2017-05-29T04:59:57.0000000Z,264649.0,264988.0,262301.0,263811.0,175.06139247,980
2017-05-29T05:00:00.0000000Z,2017-05-29T05:15:00.0000000Z,2017-05-29T05:00:00.0000000Z,2017-05-29T05:14:59.0000000Z,263801.0,264500.0,262988.0,264182.0,145.11104322,1173
2017-05-29T05:15:00.0000000Z,2017-05-29T05:30:00.0000000Z,2017-05-29T05:15:00.0000000Z,2017-05-29T05:29:58.0000000Z,264236.0,264473.0,262656.0,263077.0,124.29674678,930
2017-05-29T05:30:00.0000000Z,2017-05-29T05:45:00.0000000Z,2017-05-29T05:30:00.0000000Z,2017-05-29T05:44:58.0000000Z,263084.0,263399.0,261539.0,263399.0,113.64966098,1168
2017-05-29T05:45:00.0000000Z,2017-05-29T06:00:00.0000000Z,2017-05-29T05:45:02.0000000Z,2017-05-29T05:59:59.0000000Z,263390.0,266000.0,263207.0,264652.0,249.32015672,1239
2017-05-29T06:00:00.0000000Z,2017-05-29T06:15:00.0000000Z,2017-05-29T06:00:01.0000000Z,2017-05-29T06:14:59.0000000Z,264786.0,265395.0,262500.0,263020.0,229.99658859,1250
2017-05-29T06:15:00.0000000Z,2017-05-29T06:30:00.0000000Z,2017-05-29T06:15:00.0000000Z,2017-05-29T06:29:59.0000000Z,263413.0,264800.0,262700.0,263965.0,124.22884376,1185
2017-05-29T06:30:00.0000000Z,2017-05-29T06:45:00.0000000Z,2017-05-29T06:30:02.0000000Z,2017-05-29T06:44:59.0000000Z,263991.0,264799.0,263100.0,264614.0,71.01794463,1088
2017-05-29T06:45:00.0000000Z,2017-05-29T07:00:00.0000000Z,2017-05-29T06:45:01.0000000Z,2017-05-29T06:59:59.0000000Z,264778.0,265990.0,263644.0,264905.0,96.11300249,997
2017-05-29T07:00:00.0000000Z,2017-05-29T07:15:00.0000000Z,2017-05-29T07:00:00.0000000Z,2017-05-29T07:14:59.0000000Z,264605.0,265850.0,264501.0,265143.0,132.06256316,1195
2017-05-29T07:15:00.0000000Z,2017-05-29T07:30:00.0000000Z,2017-05-29T07:15:04.0000000Z,2017-05-29T07:29:59.0000000Z,265327.0,265900.0,265000.0,265235.0,64.23141703,807
2017-05-29T07:30:00.0000000Z,2017-05-29T07:45:00.0000000Z,2017-05-29T07:30:01.0000000Z,2017-05-29T07:44:59.0000000Z,265265.0,267000.0,265100.0,265700.0,128.90309033,1011
2017-05-29T07:45:00.0000000Z,2017-05-29T08:00:00.0000000Z,2017-05-29T07:45:01.0000000Z,2017-05-29T07:59:57.0000000Z,265698.0,267279.0,265400.0,266890.0,112.51139446,919
2017-05-29T08:00:00.0000000Z,2017-05-29T08:15:00.0000000Z,2017-05-29T08:00:02.0000000Z,2017-05-29T08:14:57.0000000Z,266900.0,269170.0,266811.0,268284.0,225.76845293,1386
2017-05-29T08:15:00.0000000Z,2017-05-29T08:30:00.0000000Z,2017-05-29T08:15:04.0000000Z,2017-05-29T08:29:59.0000000Z,268425.0,268501.0,267037.0,267620.0,158.38771346,1237
2017-05-29T08:30:00.0000000Z,2017-05-29T08:45:00.0000000Z,2017-05-29T08:30:00.0000000Z,2017-05-29T08:44:59.0000000Z,267625.0,267707.0,266000.0,266632.0,190.41373177,1186
