product_code,timestamp,tick_id,best_bid,best_ask,best_bid_size,best_ask_size,total_bid_depth,total_ask_depth,ltp,volume,volume_by_product
BTC_JPY,2020-05-28T23:55:10.153,12674784,1029457.0,1030017.0,0.155,0.1,1677.99082891,1946.52861478,1030017.0,120472.4985503,6148.30314192
BTC_JPY,2020-05-28T23:55:14.233,12674849,1029457.0,1029997.0,0.155,0.2,1680.26652892,1953.80300016,1029458.0,120476.65028726,6148.39314192
BTC_JPY,2020-05-28T23:55:19.157,12674951,1029457.0,1029962.0,0.145,0.5113,1675.38274304,1957.11237695,1029457.0,120477.84224071,6147.90314192
BTC_JPY,2020-05-28T23:55:23.2,12675030,1029457.0,1030016.0,0.045,0.05,1677.95624305,1951.77055191,1030000.0,120483.91074242,6151.47369613
BTC_JPY,2020-05-28T23:55:28.287,12675111,1029542.0,1029960.0,0.1,0.1,1678.42693543,1945.46083317,1030017.0,120485.19557997,6151.22369613
BTC_JPY,2020-05-28T23:55:34.59,12675225,1030001.0,1030080.0,0.1,0.105,1700.05819028,1950.475476,1029960.0,120475.87635681,6150.61369713
BTC_JPY,2020-05-28T23:55:38.99,12675272,1030001.0,1030080.0,0.1,0.105,1702.67389028,1952.173326,1029960.0,120477.23746681,6150.11369713
BTC_JPY,2020-05-28T23:55:44.32,12675373,1030000.0,1030017.0,0.37353315,0.01,1701.38089041,1955.49598613,1030001.0,120479.40321181,6149.71369713
BTC_JPY,2020-05-28T23:55:48.48,12675439,1030001.0,1030080.0,0.1,0.105,1703.01526862,1954.49027434,1030017.0,120479.77961181,6149.72369713
BTC_JPY,2020-05-28T23:55:54.377,12675498,1029601.0,1030000.0,0.30000013,0.52646685,1699.93824197,1955.15439756,1030000.0,120486.77842149,6150.16723028
BTC_JPY,2020-05-28T23:55:59.103,12675569,1029719.0,1030000.0,0.30000013,0.30746685,1703.25414197,1955.92798015,1030000.0,120481.75291468,6145.53887018
BTC_JPY,2020-05-28T23:56:04.303,12675658,1029772.0,1030080.0,0.2132,0.105,1702.75794184,1953.1911333,1030000.0,120481.91874338,6145.34633703
BTC_JPY,2020-05-28T23:56:09.537,12675769,1029981.0,1030500.0,0.30000013,0.01,1702.7484114,1953.89983026,1030100.0,120483.90357643,6144.65133703
